Selena Gomez & The Scene,Pop
Shaggy,Rap/Hip Hop
Shakira,Pop
Shania Twain,Pop
SHeDAISY,Country
Shelby Lynne,alternative/indie rock
Sheryl Crow,Pop
Shinedown,Rock
Shontelle,RB/Soul
Shop Boyz,Rap/Hip Hop
Shwayze,Rap/Hip Hop
Sia,Rap/Hip Hop
Simon & Garfunkel,Pop
Simple Plan,Rock
Simply Red,alternative/indie rock
Sinéad O'Connor,alternative/indie rock
Sir Mix-A-Lot,Rap/Hip Hop
Skillet,Rock
Slightly Stoopid,Rap/Hip Hop
Smashing Pumpkins,Rock
Smokey Robinson,RB/Soul
Snoop Dogg,Rap/Hip Hop
Snow Patrol,Rock
Sonic Youth,alternative/indie rock
Soulja Boy Tell 'Em,Rap/Hip Hop
Staind,Rock
Steppenwolf,Rap/Hip Hop
Steve Earle,Country
Steve Holy,Country
Steve Winwood,RB/Soul
Stevie Ray Vaughan & Double Trouble,Country
Stevie Wonder,RB/Soul
Stone Temple Pilots,Rock
Styx,Rock
Sublime,alternative/indie rock
Sugarland,Country
Survivor,Rock
Suzanne Vega,alternative/indie rock
Swedish House Mafia,RB/Soul
Switchfoot,Rock
T-Pain,Rap/Hip Hop
T.I.,Rap/Hip Hop
Taio Cruz,Rap/Hip Hop
Taylor Swift,Pop
Tech N9ne,Rap/Hip Hop
Ted Nugent,Country
The All-American Rejects,Rock
The Avett Brothers,Country
The Band,RB/Soul
The Band Perry,Country
The Beach Boys,Pop
The Beatles,Pop
The Black Eyed Peas,Pop
The Black Keys,Rock
The Byrds,Country
The Charlie Daniels Band,Country
The Commodores,RB/Soul
The Countdown Singers,Country
The Cure,alternative/indie rock
The Doobie Brothers,Country
The Fray,Rock
The Goo Goo Dolls,Rock
The Hit Crew,Rap/Hip Hop
The Judds,Country
The Killers,Rock
The Marshall Tucker Band,Country
The Moody Blues,RB/Soul
The Offspring,Rock
The Police,Rock
The Pussycat Dolls,Pop
The Raconteurs,Country
The Red Jumpsuit Apparatus,Rock
The Righteous Brothers,RB/Soul
The Rolling Stones,Pop
The Roots,Rap/Hip Hop
The Script,Pop
The Wanted,Pop
The Waterboys,alternative/indie rock
The Weeknd,RB/Soul
The White Stripes,Rock
The Who,Pop
The Wreckers,Country
The-Dream,RB/Soul
Theory of a Deadman,Rock
They Might Be Giants,alternative/indie rock
Third Eye Blind,Rock
Thompson Square,Country
Three 6 Mafia,Rap/Hip Hop
Three Days Grace,Rock
Three Dog Night,Rap/Hip Hop
Tim McGraw,Country
Timbaland,Rap/Hip Hop
Tina Turner,RB/Soul
Tinie Tempah,Rap/Hip Hop
TLC,RB/Soul
Toby Keith,Country
Tom Jones,Country
Tom Petty & The Heartbreakers,Country
Tom Waits,alternative/indie rock
Toni Braxton,RB/Soul
Tony Bennett,RB/Soul
Too $hort,Rap/Hip Hop
Tori Amos,alternative/indie rock
Trace Adkins,Country
Tracy Byrd,Country
Tracy Lawrence,Country
